TimeSteps,"Static fine mesh",AMR/LB
818,13.0298,0.251464
819,13.0457,0.251797
820,13.0615,0.252136
821,13.0776,0.252472
822,13.0936,0.252886
823,13.1096,0.253219
824,13.1256,0.253553
825,13.1417,0.253886
826,13.1584,0.254217
827,13.1753,0.254553
828,13.1923,0.254892
829,13.2092,0.255225
830,13.2257,0.255572
831,13.2416,0.256017
832,13.2573,0.256372
833,13.273,0.256725
834,13.2887,0.257078
835,13.3044,0.257431
836,13.3205,0.257783
837,13.3364,0.258142
838,13.3523,0.258494
839,13.368,0.25885
840,13.3838,0.259203
841,13.4,0.259564
842,13.4162,0.259914
843,13.4324,0.260267
844,13.4486,0.260622
845,13.4648,0.260981
846,13.481,0.261336
847,13.4972,0.261689
848,13.5134,0.262044
849,13.5296,0.262422
850,13.5458,0.262783
851,13.562,0.263147
852,13.5782,0.263503
853,13.5944,0.263858
854,13.6106,0.264211
855,13.6267,0.264558
856,13.6427,0.264917
857,13.6586,0.265275
858,13.6744,0.265628
859,13.6904,0.265981
860,13.7063,0.266339
861,13.7221,0.266692
862,13.738,0.267044
863,13.7539,0.267392
864,13.7699,0.267747
865,13.7858,0.268097
866,13.8017,0.268447
867,13.8184,0.2688
868,13.8352,0.269228
869,13.8515,0.269575
870,13.8674,0.269928
871,13.8833,0.270275
872,13.8992,0.270622
873,13.9152,0.270969
874,13.9312,0.271314
875,13.9471,0.271661
876,13.963,0.272033
877,13.979,0.272381
878,13.9952,0.272725
879,14.0114,0.273078
880,14.0275,0.273433
881,14.0435,0.273778
882,14.0593,0.274128
883,14.0761,0.274472
884,14.0929,0.274819
885,14.1096,0.275164
886,14.1264,0.275508
887,14.1428,0.27585
888,14.1592,0.276194
889,14.1757,0.276533
890,14.192,0.276872
891,14.2082,0.277214
892,14.2244,0.277553
893,14.2407,0.277889
894,14.2569,0.278225
895,14.2732,0.278564
896,14.2893,0.2789
897,14.3055,0.279236
898,14.3212,0.279572
899,14.3371,0.279931
900,14.3532,0.280275
901,14.3693,0.280617
902,14.3854,0.280953
903,14.4015,0.281292
904,14.4177,0.281633
905,14.4344,0.281967
906,14.451,0.2823
907,14.4675,0.282642
908,14.4838,0.282978
909,14.4999,0.283311
910,14.5158,0.283647
911,14.5318,0.283981
912,14.5475,0.284331
913,14.5634,0.284661
914,14.5794,0.284994
915,14.5954,0.285325
916,14.6116,0.285664
917,14.6279,0.285997
918,14.6441,0.286331
919,14.6603,0.286667
920,14.6765,0.287
921,14.6927,0.287339
922,14.7088,0.287675
923,14.725,0.288008
924,14.7411,0.288347
925,14.7572,0.288686
926,14.7738,0.289022
927,14.7905,0.289353
928,14.8072,0.289694
929,14.8238,0.290031
930,14.8405,0.290375
931,14.8569,0.290706
932,14.873,0.291039
933,14.8892,0.291383
934,14.9053,0.291717
935,14.9214,0.29205
936,14.9372,0.292383
937,14.953,0.292719
938,14.9688,0.293056
939,14.9847,0.293392
940,15.0006,0.293733
941,15.0165,0.294069
942,15.0322,0.294408
943,15.048,0.294756
944,15.0637,0.295094
945,15.0795,0.295433
946,15.0953,0.295772
947,15.1111,0.296111
948,15.1268,0.29645
949,15.1426,0.297375
950,15.1582,0.297694
951,15.174,0.298017
952,15.1897,0.298336
